symbol,address,decimals
SOL,So11111111111111111111111111111111111111111,9
WSOL,So11111111111111111111111111111111111111112,9
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6
TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,6
PUMP,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,6
BNSOL,BNso1VUJnh4zcfpZa6986Ea66P6TCp59hvtNJ8b1X85,9
JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6
SLERF,7BgBvyjrZX1YKz4oh9mjb8ZScatkkwb8DzFx7LoiVkM3,9
USDS,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,6
PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,6
USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,6
JITO,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,9
BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,5
RAY,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,6
RENDER,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,8
PYTH,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,6
JupSOL,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,9
$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,6
W,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,6
SAROS,SarosY6Vscao718M4A778z4CGtvcwcGef5M9MEH1LGL,6
Fartcoin,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,6
Grass,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,9
AIX,AiXxRGmRc5oDiFXbEeRX9obPpr3Zir7rks1ef2NjddiF,9
ME,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,6
KMNO,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,6
DRIFT,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,6
LAYER,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,9
IO,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,8
SONIC,SonicxvLud67EceaEzCLRnMTBqzYUUYNr93DBkBdDES,9
bbSOL,Bybit2vBJGhPF52GBdNaQfUJ6ZpThSgHBobjWZpLPb4B,9
CARDS,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,6
PAI,HrkKngiUavecwte1ZMrdt4H5Qet3cecNUzMoEAgjTAX8,9
ZBCN,ZBCNpuD7YMXzTHB2fhGkGi78MNsHGLRXUhRewNRm9RU,6
dSOL,Dso1bDeDjCQxTrWHqUUi63oBvV7Mdm6WaobLbQ7gnPQ,9
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,8
WBTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,8
vSOL,vSoLxydx6akxyMD9XEcPvGYNGq6Nn66oqVb3UkGkei7,9
BTX,4Z8wM5BEVD5RHZ79AJ5XUN23tsEWSGZne2qqNm647Q9o,9
STIK,8BMzMi2XxZn9afRaMx5Z6fauk9foHXqV5cLTCYWRcVje,9
MPLX,METAewgxyPbgwsseH8T16a39CQ5VyVxZi9zXiDPY18m,6
WETH,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,8
MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,5
HUMA,HUMA1821qVDKta3u2ovmfDQeW2fSQouSKE8fkF44wvGw,6
Pnut,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,6
syrupUSDC,AvZZF1YaZDziPY2RCK4oJrRVrbN3mTD9NL24hPeaZeUj,6
OXY,z3dn17yLaGMKffVogeFHQ9zWVcXgqgf3PQnDsNs2g6M,6
Verse,vRseBFqTy9QLmmo5qGiwo74AVpdqqMTnxPqWoWMpump,6
USD1,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,6
USDY,A1KLoBrKBde8Ty9qtNQUtq3C2ortoC3u7twggz7sEto6,6
MOODENG,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,6
TUNA,TUNAfXDZEdQizTMTh3uEvNvYqJmqFHZbEJt8joP4cyx,6